COD_CURSO;CURSO;CURRICULO;COD_DISCIPLINA;DISCIPLINA;TIPO
13301100;ADMINISTRAÇÃO - D;1995;1301007;MERCADO DE CAPITAIS;Complementar
13301100;ADMINISTRAÇÃO - D;1995;1305023;MÉTODO E TÉCNICA DE PESQUISA II;Optativa
13301100;ADMINISTRAÇÃO - D;1995;1301085;MÉTODOS E TÉCNICAS DE PESQUISA I;Obrigatoria
13301100;ADMINISTRAÇÃO - D;1995;1301056;MICROINF. EM ADMINISTRACAO;Optativa
13301100;ADMINISTRAÇÃO - D;1995;1301040;ORCAMENTO EMPRESARIAL;Complementar
13301100;ADMINISTRAÇÃO - D;1995;1301074;ORCAMENTO PUBLICO;Complementar
13301100;ADMINISTRAÇÃO - D;1995;1301072;",ORGANIZACAO,, SIST E METODOS I,";Obrigatoria
13301100;ADMINISTRAÇÃO - D;1995;1301073;",ORGANIZACAO,, SIST E METODOS II,";Obrigatoria
13301100;ADMINISTRAÇÃO - D;1995;1301019;PESQUISA OPERACIONAL;Complementar
13301100;ADMINISTRAÇÃO - D;1995;1301080;PLANEJAMENTO EMPRESARIAL;Optativa
13301100;ADMINISTRAÇÃO - D;1995;1303072;PLANEJAMENTO URBANO;Optativa
13301100;ADMINISTRAÇÃO - D;1995;1301048;PRATICA ADMINISTRATIVA;Optativa
13301100;ADMINISTRAÇÃO - D;1995;1301061;PROCESSO DECISORIO;Obrigatoria
13301100;ADMINISTRAÇÃO - D;1995;1301062;PSICOLOGIA DAS ORGANIZACOES;Obrigatoria
13301100;ADMINISTRAÇÃO - D;1995;1301053;SOCIEDADES COMERCIAIS;Optativa
13301100;ADMINISTRAÇÃO - D;1995;1301063;SOCIOLOGIA DAS ORGANIZACOES;Obrigatoria
13301100;ADMINISTRAÇÃO - D;1995;1301101;TEA (EDUCAÇÃO AMBIENTAL E CIDADANIA);Optativa
13301100;ADMINISTRAÇÃO - D;1995;1301102;TEA (EXTENSÃO);Optativa
13301100;ADMINISTRAÇÃO - D;1995;1301100;TEA (WEB-MARKETING);Optativa
13301100;ADMINISTRAÇÃO - D;1995;1301098;TEA(ADM DE ORGANIZACOES TERCEIRO SETOR);Optativa
13301100;ADMINISTRAÇÃO - D;1995;1301116;TEA(ADMINISTRACAO DE SERVICOS);Optativa
13301100;ADMINISTRAÇÃO - D;1995;1301115;TEA(ESTRATEGIAS EM REDES EMPRESARIAIS);Optativa
13301100;ADMINISTRAÇÃO - D;1995;1301099;TEA(GESTAO DA INOVACAO TECNOLOGICA);Optativa
13301100;ADMINISTRAÇÃO - D;1995;1301110;TEA(GESTÃO DO CONHECIMENTO);Optativa
13301100;ADMINISTRAÇÃO - D;1995;1301120;TEA(GESTAO DO TURISMO);Optativa
13301100;ADMINISTRAÇÃO - D;1995;1301121;TEA(GESTAO PUBLICA);Optativa
