CODIGO_CURSO;CODIGO_CURRICULAR;CODIGO_DISCIPLINA;NOME_DISCIPLINA;CREDITOS_DISCIPLINA;HORAS_DISCIPLINA;TIPO;SEMESTRE_IDEAL
14102100;1979;1411059;INT. ? AN?LISE DE SISTEMAS;4;60;COMPLEMENTAR;-1
14102100;1979;1411060;CONSTRUCAO DE COMPILADORES I;5;75;COMPLEMENTAR;-1
14102100;1979;1411061;INT. ? AN?LISE NUM?RICA;4;60;OPCIONAL;-1
14102100;1979;1411062;SISTEMAS OPERACIONAIS II;4;60;OPCIONAL;-1
14102100;1979;1411063;TELEPROCESSAMENTO II;4;60;OPCIONAL;-1
14102100;1979;1411064;CONSTRUCAO DE COMPILADORES II;4;60;OPCIONAL;-1
14102100;1979;1411148;TECC (L?GICA APLICADA ? COMPUTA??O);4;60;OBRIGATORIO;-1
14102100;1979;1411283;TECC(FUNDAMENTOS DE PROG CONCORRENTE);4;60;OPCIONAL;-1
14102100;1979;1411293;TECC(LAB DE ADMINISTRACAO DE SISTEMAS I);2;30;OPCIONAL;-1
14102100;1979;1503038;CI?NCIAS DO AMBIENTE;3;45;COMPLEMENTAR;-1
