CODIGO_CURSO;CODIGO_CURRICULAR;CODIGO_DISCIPLINA;NOME_DISCIPLINA;CREDITOS;HORAS_DISCIPLINA;TIPO;SEMESTRE_IDEAL
14102100;1990;1404049;MICROPROCESSADORES;5;75;OPCIONAL;-1
14102100;1990;1404057;LAB SISTEMAS DIGITAIS;0;0;OPCIONAL;-1
14102100;1990;1404060;LAB DE MICROPROCESSADORES;0;0;OPCIONAL;-1
14102100;1990;1411004;ORGANIZACAO DE COMPUTADORES;4;60;COMPLEMENTAR;-1
14102100;1990;1411011;SOFTWARE BASICO;5;75;COMPLEMENTAR;-1
14102100;1990;1411018;SISTEMAS OPERACIONAIS I;4;60;COMPLEMENTAR;-1
14102100;1990;1411019;LING FORMAIS E AUTOMATOS;4;60;COMPLEMENTAR;-1
14102100;1990;1411021;SIMULACAO DIGITAL;4;60;OPCIONAL;-1
14102100;1990;1411030;TÓPICOS ESPECIAIS EM COMPUTAÇÃO;0;0;OPCIONAL;-1
14102100;1990;1411038;LINGUAGEM DE PROGRAMAÇÃO I;4;60;COMPLEMENTAR;-1
14102100;1990;1411039;TÉCNICAS DE ARQUIVAMENTO;4;60;COMPLEMENTAR;-1
14102100;1990;1411040;LINGUAGEM DE PROGRAMAÇÃO II;4;60;COMPLEMENTAR;-1
14102100;1990;1411048;ESTAGIO SUPERVISIONADO;4;160;COMPLEMENTAR;-1
14102100;1990;1411050;ESTRUTURA DE DADOS;4;60;COMPLEMENTAR;-1
14102100;1990;1411052;LINGUAGEM DE PROGRAMAÇÃO III;4;60;OPCIONAL;-1
14102100;1990;1411056;INTRODUÇÃO À COMPUTAÇÃO;4;60;COMPLEMENTAR;-1
14102100;1990;1411058;METODOLOGIA DE PROGRAMAÇÃO;4;60;COMPLEMENTAR;-1
14102100;1990;1411062;SISTEMAS OPERACIONAIS II;4;60;OPCIONAL;-1
14102100;1990;1411075;CALCULO NUMERICO;4;60;COMPLEMENTAR;-1
14102100;1990;1411079;OTIMIZACAO;4;60;OPCIONAL;-1
14102100;1990;1411093;PROJETO E ANÁLISE DE ALGORITMOS;4;60;COMPLEMENTAR;-1
14102100;1990;1411094;REDES DE COMPUTADORES;4;60;COMPLEMENTAR;-1
14102100;1990;1411095;INTRODUÇÃO A BANCO DE DADOS;4;60;COMPLEMENTAR;-1
14102100;1990;1411096;COMPILADORES I;4;60;COMPLEMENTAR;-1
14102100;1990;1411097;ENGENHARIA DE SOFTWARE;4;60;COMPLEMENTAR;-1
14102100;1990;1411098;TÓPICOS ESPECIAIS I;4;60;OPCIONAL;-1
14102100;1990;1411099;INTELIGENCIA ARTIFICIAL;4;60;OPCIONAL;-1
14102100;1990;1411100;ARQUITETURA DE COMPUTADORES;4;60;OPCIONAL;-1
14102100;1990;1411101;SISTEMAS DE INFORMACAO II;4;60;OPCIONAL;-1
14102100;1990;1411102;TEORIA DA COMPUTAÇÃO;4;60;COMPLEMENTAR;-1
14102100;1990;1411103;ESTRUTURAS E PROJ DE LINGUAGEM;4;60;COMPLEMENTAR;-1
14102100;1990;1411104;SISTEMAS DE INFORMACAO I;4;60;COMPLEMENTAR;-1
14102100;1990;1411105;ESTAGIO SUPERVISIONADO;12;360;COMPLEMENTAR;-1
14102100;1990;1411106;LINGUAGEM DE PROGRAMAÇÃO IV;4;60;OPCIONAL;-1
14102100;1990;1411107;SISTEMAS DE INFORMACAO III;4;60;OPCIONAL;-1
14102100;1990;1411108;TEORIA DAS FILAS;4;60;OPCIONAL;-1
14102100;1990;1411109;SISTEMAS ESPECIALISTAS;4;60;OPCIONAL;-1
14102100;1990;1411110;ARQUITETURA DE REDES;4;60;OPCIONAL;-1
14102100;1990;1411111;SISTEMAS DISTRIBUIDOS;4;60;OPCIONAL;-1
14102100;1990;1411112;PROTOCOLOS PARA REDES;4;60;OPCIONAL;-1
14102100;1990;1411113;COMPUTAÇÃO GRÁFICA;4;60;OPCIONAL;-1
14102100;1990;1411114;COMUNICAÇÃO HOMEM/MÁQUINA;4;60;OPCIONAL;-1
14102100;1990;1411115;COMPILADORES II;4;60;OPCIONAL;-1
14102100;1990;1411116;TÓPICOS ESPECIAIS II;4;60;OPCIONAL;-1
14102100;1990;1411117;TECC(SIST INFORMACOES GEOGRAF);4;60;OPCIONAL;-1
14102100;1990;1411118;CALCULO NUMERICO;4;60;COMPLEMENTAR;-1
14102100;1990;1411119;BANCO DE DADOS;4;60;OPCIONAL;-1
14102100;1990;1411120;ADMINISTRAÇÃO PARA INFORMÁTICA I;4;60;COMPLEMENTAR;-1
14102100;1990;1411121;ADMINISTRAÇÃO PARA INFORMÁTICA II;4;60;OPCIONAL;-1
14102100;1990;1411122;MARKETING PARA INFORMÁTICA;4;60;OPCIONAL;-1
14102100;1990;1411125;SOFTWARE BASICO;4;60;COMPLEMENTAR;-1
14102100;1990;1411132;TECC (LOGICA COMPUTACIONAL);4;60;OPCIONAL;-1
14102100;1990;1411133;TEC (REDES DE PETRI);4;60;OPCIONAL;-1
14102100;1990;1411134;TEC(ALGORITMOS BAS. C.GRAFICA);4;60;OPCIONAL;-1
14102100;1990;1411135;TEC (REDES NEURAIS);4;60;OPCIONAL;-1
14102100;1990;1411136;TEC (AVALIACAO DE DESEMPENHO);0;0;OPCIONAL;-1
14102100;1990;1411139;TECC (REDES TCP/IP);4;60;OPCIONAL;-1
14102100;1990;1411140;TECC (COMPUTAÇÃO E MÚSICA);4;60;OPCIONAL;-1
14102100;1990;1411141;TECC(ADMINISTRACAO DE SGBDS);4;60;OPCIONAL;-1
14102100;1990;1411142;TECC (EMPREEND. DE INFORMÁTICA);4;60;OPCIONAL;-1
14102100;1990;1411144;TECC(ARQUITETURA COMPUTADORES);4;60;OPCIONAL;-1
14102100;1990;1411145;TECC (COMUNICAÇÃO HOMEM-MÁQUINA);4;60;OPCIONAL;-1
14102100;1990;1411146;TECC (COMPUTAÇÃO GRÁFICA);4;60;OPCIONAL;-1
14102100;1990;1411147;TECC (SISTEMAS DISTRIBUIDOS);4;60;OPCIONAL;-1
14102100;1990;1411148;TECC (LÓGICA APLICADA À COMPUTAÇÃO);4;60;OPCIONAL;-1
14102100;1990;1411149;TECC(AVAL DESEMP REDES LOCAIS);4;60;OPCIONAL;-1
14102100;1990;1411150;TECC(INTERCONEX E GER DE REDES;4;60;OPCIONAL;-1
14102100;1990;1411151;TECC (PROJETO DE REDES);4;60;OPCIONAL;-1
14102100;1990;1411152;INTRODUÇÃO À COMPUTAÇÃO;3;45;COMPLEMENTAR;-1
14102100;1990;1411154;TECC (ENGENHARIA DO CONHECIMENTO);4;60;OPCIONAL;-1
14102100;1990;1411155;TECC (GERENCIA DE REDES);4;60;OPCIONAL;-1
14102100;1990;1411156;TECC (INTERCONEXAO DE REDES);4;60;OPCIONAL;-1
14102100;1990;1411157;TECC (LABORATÓRIO DE PROGRAMAÇÃO I);4;60;OPCIONAL;-1
14102100;1990;1411158;TECC ( TEORIA DAS FILAS E SIM DIGITAL );4;60;OPCIONAL;-1
14102100;1990;1411159;TECC ( LAB DE PROGRAM  II);4;60;OPCIONAL;-1
14102100;1990;1411162;TECC (PARADIGMAS DE LING DE PROGRAM);4;60;COMPLEMENTAR;-1
14102100;1990;1411163;TECC (LAB DE ESTRUTURA DE DADOS);4;60;COMPLEMENTAR;-1
14102100;1990;1411164;TECC (TEORIA DOS GRAFOS);2;30;OPCIONAL;-1
14102100;1990;1411165;TECC (GERENCIA DA INFORMACAO);4;60;OPCIONAL;-1
14102100;1990;1411166;TE (EMPREENDEDORISMO);4;60;OPCIONAL;-1
14102100;1990;1411177;ENGENHARIA DE SOFTWARE I;4;60;COMPLEMENTAR;-1
14102100;1990;1411178;SISTEMAS DE INFORMAÇÃO I;4;60;COMPLEMENTAR;-1
14102100;1990;1411189;COMPILADORES;4;60;COMPLEMENTAR;-1
14102100;1990;1411195;SISTEMAS DE INFORMAÇÃO II;4;60;COMPLEMENTAR;-1
14102100;1990;1411229;TECC (SIST BASEADOS EM CONHECIMENTOS);4;60;OPCIONAL;-1
14102100;1990;1411230;TECC ( DATA MINING);4;60;OPCIONAL;-1
14102100;1990;1411260;TECC (INTRODUÇÃO À COMPUTAÇÃO QUÂNTICA);2;30;OPCIONAL;-1
14102100;1990;1503038;CIÊNCIAS DO AMBIENTE;3;45;COMPLEMENTAR;-1
